,file,offsets,text,label,category,eadid,description,field,id,desc_id
60,AA6_00100.ann,"(670, 675)",Agnes,Omission,Contextual,AA6,"Biographical / Historical:
Rev Thomas Allan was born on 16 August 1916 in Newmilnes, Ayrshire to William and Agnes. He was educated at Newmilnes Primary School and Kilmarnock Academy before going on to graduate from the University of Glasgow with a first class honours degree in English Literature. In 1945, following a number of years war service in the RAF he entered Trinity Theological College, Glasgow and was ordained a minister of the Church of Scotland in 1946.
In 1941 Tom Allan married Jane Moore and they had three children, Margaret Elizabeth, William Thomas and Kenneth John.
Rev Tom Allan's first charge was North Kelvinside Church in Glasgow and he served here until 1953 when he left to join the ""Tell Scotland"" movement. Tell Scotland started as a result of two Scottish radio missions of the BBC in which leading preachers of several denominations combined in a nation wide evangelistic drive. In 1953 the ""Tell Scotland"" committee was formed and Rev Tom Allan was appointed evangelistic organiser. He became a key figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity as evangelist for the Church of Scotland. In 1955 when Billy Graham held his 'All Scotland Crusade', Tom Allan was Chairman of the organizing committee.
In 1955 Rev Tom Allan accepted a call to become minister of St George's-Tron Parish Church in Glasgow and he served here until 1964 when he had to retire on the grounds of ill health. In 1955 Rev Allan held youth rallies at St George's-Tron which proved so popular that accommodation problems were experienced. The services were consequently relayed to churches filled by overflow audiences and by April 1956 five churches were involved and a total of 4,500 tickets were issued on one night.
Following a heart attack in 1964 Tom Allan requested demission (or resignation) from St George's Tron. He later died on the 8th September 1965.",Biographical / Historical,56,2
38,AA6_00100.ann,"(670, 675)",Agnes,Unknown,Person-Name,AA6,"Biographical / Historical:
Rev Thomas Allan was born on 16 August 1916 in Newmilnes, Ayrshire to William and Agnes. He was educated at Newmilnes Primary School and Kilmarnock Academy before going on to graduate from the University of Glasgow with a first class honours degree in English Literature. In 1945, following a number of years war service in the RAF he entered Trinity Theological College, Glasgow and was ordained a minister of the Church of Scotland in 1946.
In 1941 Tom Allan married Jane Moore and they had three children, Margaret Elizabeth, William Thomas and Kenneth John.
Rev Tom Allan's first charge was North Kelvinside Church in Glasgow and he served here until 1953 when he left to join the ""Tell Scotland"" movement. Tell Scotland started as a result of two Scottish radio missions of the BBC in which leading preachers of several denominations combined in a nation wide evangelistic drive. In 1953 the ""Tell Scotland"" committee was formed and Rev Tom Allan was appointed evangelistic organiser. He became a key figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity as evangelist for the Church of Scotland. In 1955 when Billy Graham held his 'All Scotland Crusade', Tom Allan was Chairman of the organizing committee.
In 1955 Rev Tom Allan accepted a call to become minister of St George's-Tron Parish Church in Glasgow and he served here until 1964 when he had to retire on the grounds of ill health. In 1955 Rev Allan held youth rallies at St George's-Tron which proved so popular that accommodation problems were experienced. The services were consequently relayed to churches filled by overflow audiences and by April 1956 five churches were involved and a total of 4,500 tickets were issued on one night.
Following a heart attack in 1964 Tom Allan requested demission (or resignation) from St George's Tron. He later died on the 8th September 1965.",Biographical / Historical,57,2
20,AA6_00100.ann,"(677, 679)",He,Gendered-Pronoun,Linguistic,AA6,"Biographical / Historical:
Rev Thomas Allan was born on 16 August 1916 in Newmilnes, Ayrshire to William and Agnes. He was educated at Newmilnes Primary School and Kilmarnock Academy before going on to graduate from the University of Glasgow with a first class honours degree in English Literature. In 1945, following a number of years war service in the RAF he entered Trinity Theological College, Glasgow and was ordained a minister of the Church of Scotland in 1946.
In 1941 Tom Allan married Jane Moore and they had three children, Margaret Elizabeth, William Thomas and Kenneth John.
Rev Tom Allan's first charge was North Kelvinside Church in Glasgow and he served here until 1953 when he left to join the ""Tell Scotland"" movement. Tell Scotland started as a result of two Scottish radio missions of the BBC in which leading preachers of several denominations combined in a nation wide evangelistic drive. In 1953 the ""Tell Scotland"" committee was formed and Rev Tom Allan was appointed evangelistic organiser. He became a key figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity as evangelist for the Church of Scotland. In 1955 when Billy Graham held his 'All Scotland Crusade', Tom Allan was Chairman of the organizing committee.
In 1955 Rev Tom Allan accepted a call to become minister of St George's-Tron Parish Church in Glasgow and he served here until 1964 when he had to retire on the grounds of ill health. In 1955 Rev Allan held youth rallies at St George's-Tron which proved so popular that accommodation problems were experienced. The services were consequently relayed to churches filled by overflow audiences and by April 1956 five churches were involved and a total of 4,500 tickets were issued on one night.
Following a heart attack in 1964 Tom Allan requested demission (or resignation) from St George's Tron. He later died on the 8th September 1965.",Biographical / Historical,58,2
57,AA6_00100.ann,"(810, 836)",first class honours degree,Stereotype,Contextual,AA6,"Biographical / Historical:
Rev Thomas Allan was born on 16 August 1916 in Newmilnes, Ayrshire to William and Agnes. He was educated at Newmilnes Primary School and Kilmarnock Academy before going on to graduate from the University of Glasgow with a first class honours degree in English Literature. In 1945, following a number of years war service in the RAF he entered Trinity Theological College, Glasgow and was ordained a minister of the Church of Scotland in 1946.
In 1941 Tom Allan married Jane Moore and they had three children, Margaret Elizabeth, William Thomas and Kenneth John.
Rev Tom Allan's first charge was North Kelvinside Church in Glasgow and he served here until 1953 when he left to join the ""Tell Scotland"" movement. Tell Scotland started as a result of two Scottish radio missions of the BBC in which leading preachers of several denominations combined in a nation wide evangelistic drive. In 1953 the ""Tell Scotland"" committee was formed and Rev Tom Allan was appointed evangelistic organiser. He became a key figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity as evangelist for the Church of Scotland. In 1955 when Billy Graham held his 'All Scotland Crusade', Tom Allan was Chairman of the organizing committee.
In 1955 Rev Tom Allan accepted a call to become minister of St George's-Tron Parish Church in Glasgow and he served here until 1964 when he had to retire on the grounds of ill health. In 1955 Rev Allan held youth rallies at St George's-Tron which proved so popular that accommodation problems were experienced. The services were consequently relayed to churches filled by overflow audiences and by April 1956 five churches were involved and a total of 4,500 tickets were issued on one night.
Following a heart attack in 1964 Tom Allan requested demission (or resignation) from St George's Tron. He later died on the 8th September 1965.",Biographical / Historical,59,2
21,AA6_00100.ann,"(920, 922)",he,Gendered-Pronoun,Linguistic,AA6,"Biographical / Historical:
Rev Thomas Allan was born on 16 August 1916 in Newmilnes, Ayrshire to William and Agnes. He was educated at Newmilnes Primary School and Kilmarnock Academy before going on to graduate from the University of Glasgow with a first class honours degree in English Literature. In 1945, following a number of years war service in the RAF he entered Trinity Theological College, Glasgow and was ordained a minister of the Church of Scotland in 1946.
In 1941 Tom Allan married Jane Moore and they had three children, Margaret Elizabeth, William Thomas and Kenneth John.
Rev Tom Allan's first charge was North Kelvinside Church in Glasgow and he served here until 1953 when he left to join the ""Tell Scotland"" movement. Tell Scotland started as a result of two Scottish radio missions of the BBC in which leading preachers of several denominations combined in a nation wide evangelistic drive. In 1953 the ""Tell Scotland"" committee was formed and Rev Tom Allan was appointed evangelistic organiser. He became a key figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity as evangelist for the Church of Scotland. In 1955 when Billy Graham held his 'All Scotland Crusade', Tom Allan was Chairman of the organizing committee.
In 1955 Rev Tom Allan accepted a call to become minister of St George's-Tron Parish Church in Glasgow and he served here until 1964 when he had to retire on the grounds of ill health. In 1955 Rev Allan held youth rallies at St George's-Tron which proved so popular that accommodation problems were experienced. The services were consequently relayed to churches filled by overflow audiences and by April 1956 five churches were involved and a total of 4,500 tickets were issued on one night.
Following a heart attack in 1964 Tom Allan requested demission (or resignation) from St George's Tron. He later died on the 8th September 1965.",Biographical / Historical,60,2
50,AA6_00100.ann,"(987, 1021)",minister of the Church of Scotland,Occupation,Contextual,AA6,"Biographical / Historical:
Rev Thomas Allan was born on 16 August 1916 in Newmilnes, Ayrshire to William and Agnes. He was educated at Newmilnes Primary School and Kilmarnock Academy before going on to graduate from the University of Glasgow with a first class honours degree in English Literature. In 1945, following a number of years war service in the RAF he entered Trinity Theological College, Glasgow and was ordained a minister of the Church of Scotland in 1946.
In 1941 Tom Allan married Jane Moore and they had three children, Margaret Elizabeth, William Thomas and Kenneth John.
Rev Tom Allan's first charge was North Kelvinside Church in Glasgow and he served here until 1953 when he left to join the ""Tell Scotland"" movement. Tell Scotland started as a result of two Scottish radio missions of the BBC in which leading preachers of several denominations combined in a nation wide evangelistic drive. In 1953 the ""Tell Scotland"" committee was formed and Rev Tom Allan was appointed evangelistic organiser. He became a key figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity as evangelist for the Church of Scotland. In 1955 when Billy Graham held his 'All Scotland Crusade', Tom Allan was Chairman of the organizing committee.
In 1955 Rev Tom Allan accepted a call to become minister of St George's-Tron Parish Church in Glasgow and he served here until 1964 when he had to retire on the grounds of ill health. In 1955 Rev Allan held youth rallies at St George's-Tron which proved so popular that accommodation problems were experienced. The services were consequently relayed to churches filled by overflow audiences and by April 1956 five churches were involved and a total of 4,500 tickets were issued on one night.
Following a heart attack in 1964 Tom Allan requested demission (or resignation) from St George's Tron. He later died on the 8th September 1965.",Biographical / Historical,61,2
70,AA7_00100.ann,"(1084, 1086)",he,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,62,4
71,AA7_00100.ann,"(1152, 1154)",he,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,63,4
72,AA7_00100.ann,"(1242, 1244)",He,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,64,4
85,AA7_00100.ann,"(1255, 1257)",BD,Generalization,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,65,4
105,AA7_00100.ann,"(1263, 1274)",distinction,Stereotype,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,66,4
73,AA7_00100.ann,"(1320, 1323)",his,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,67,4
86,AA7_00100.ann,"(1353, 1364)",Alec Cheyne,Masculine,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,68,4
87,AA7_00100.ann,"(1489, 1498)",Karl Bath,Unknown,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,69,4
88,AA7_00100.ann,"(1503, 1516)",Oscar Cullman,Unknown,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,70,4
74,AA7_00100.ann,"(1518, 1520)",He,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,71,4
75,AA7_00100.ann,"(1594, 1596)",he,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,72,4
99,AA7_00100.ann,"(1628, 1667)",probationer filling preaching vacancies,Occupation,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,73,4
